"PointID","x","y","z"
94, 3.899999943328347e+01, 2.287627211812131e+00, 1.371922832222614e+00
95, 3.899999943328353e+01, 2.292144282727286e+00, 1.370932822048268e+00
96, 3.899999943328348e+01, 2.296283949020545e+00, 1.368481459099050e+00
97, 3.899999943328350e+01, 5.022708342420300e-02, 3.303243759946388e-03
98, 3.899999943328351e+01, 2.118278931771533e-01, 4.546511839264168e-03
99, 3.899999943328351e+01, 2.836056250825966e-01, 7.280057460718519e-03
100, 3.899999943328351e+01, 6.409004862809363e-01, 1.725448862616002e-02
101, 3.899999943328349e+01, 7.182587905382491e-01, 3.512596792298976e-02
102, 3.899999943328350e+01, 1.743198276427490e+00, 5.962756451008390e-01
103, 3.899999943328350e+01, 1.804145300060941e+00, 6.683794987308431e-01
104, 3.899999943328350e+01, 2.190660745748608e+00, 1.167779032251645e+00
105, 3.899999943328350e+01, 2.172637588759214e+00, 1.137941266232849e+00
106, 3.899999943328350e+01, 2.290289006179314e+00, 1.320198896281666e+00
107, 3.899999943328350e+01, 2.283971771802741e+00, 1.309115088350771e+00
108, 3.899999943328351e+01, 2.280559823246348e+00, 1.365534868438780e+00
109, 3.899999943328350e+01, 2.276745429785922e+00, 1.362631544288725e+00
110, 3.899999943328350e+01, 2.131792524267030e+00, 1.107929461704974e+00
111, 3.899999943328350e+01, 2.102054965647227e+00, 1.063432937287005e+00
112, 3.899999943328350e+01, 2.144468164734266e+00, 1.155415459650581e+00
113, 3.899999943328350e+01, 1.981104170234666e+00, 8.955701792840022e-01
114, 3.899999943328350e+01, 1.927912520322847e+00, 8.229941965030612e-01
115, 3.899999943328350e+01, 1.866263089966971e+00, 7.461750867663972e-01
116, 3.899999943328350e+01, 2.028430409150130e+00, 9.585882302567627e-01
117, 3.899999943328351e+01, 5.447440183873110e-01, 9.321214333888085e-03
118, 3.899999943328350e+01, 2.287289843450241e+00, 1.368162169145338e+00
119, 3.899999943328350e+01, 2.283726314362675e+00, 1.367541637275632e+00
120, 3.899999943328350e+01, 2.162274102096119e+00, 1.182357644165793e+00
121, 3.899999943328350e+01, 2.066925987770623e+00, 1.015043264888939e+00
122, 3.899999943328350e+01, 2.226540807710294e+00, 1.297590219705991e+00
123, 3.899999943328350e+01, 2.220139986811416e+00, 1.283941515155081e+00
124, 3.899999943328350e+01, 2.290689105840877e+00, 1.367161240507374e+00
125, 3.899999943328350e+01, 1.535729166031946e-01, -3.333807860346205e-03
126, 3.899999943328350e+01, 3.690718609569953e-01, 9.784582080158555e-03
127, 3.899999943328350e+01, 2.247613846702499e+00, 1.327913717515351e+00
128, 3.899999943328350e+01, 2.241296907166749e+00, 1.318568938498122e+00
129, 3.899999943328349e+01, 9.523085252102939e-02, -4.704729442386861e-03
130, 3.899999943328350e+01, 2.263782052081001e+00, 1.349438122694473e+00
131, 3.899999943328350e+01, 2.258804342852182e+00, 1.343256256820677e+00
132, 3.899999943328349e+01, 2.173148092478958e+00, 1.207751346586362e+00
133, 3.899999943328350e+01, 2.207643373616087e+00, 1.200632167146249e+00
134, 3.899999943328349e+01, 2.190039866581163e+00, 1.231616644687837e+00
135, 3.899999943328350e+01, 2.294900522535408e+00, 1.329545306298956e+00
136, 3.899999943328350e+01, 2.267953620055943e+00, 1.282301754753668e+00
137, 3.899999943328350e+01, 2.277244527376308e+00, 1.296585627235856e+00
138, 3.899999943328350e+01, 2.198358854807080e+00, 1.255068034011144e+00
139, 3.899999943328350e+01, 2.209775175108852e+00, 1.268417423136438e+00
140, 3.899999943328350e+01, 4.582957237014188e-01, 1.262284579076398e-02
141, 3.899999943328350e+01, 2.293391232405901e+00, 1.364542053581525e+00
142, 3.899999943328350e+01, 2.296586820467041e+00, 1.362009619977074e+00
143, 3.899999943328350e+01, 2.299663758635584e+00, 1.359399982209292e+00
144, 3.899999943328350e+01, 2.301618736683535e+00, 1.355094517101908e+00
145, 3.899999943328350e+01, 2.301316788289947e+00, 1.350484742357886e+00
146, 3.899999943328350e+01, 2.300370500442686e+00, 1.344630384964364e+00
147, 3.899999943328350e+01, 2.293707822086108e+00, 1.346165274829835e+00
148, 3.899999943328350e+01, 2.295706938567419e+00, 1.351645585126729e+00
149, 3.899999943328350e+01, 2.298244562094324e+00, 1.337643756604836e+00
150, 3.899999943328350e+01, 2.272711402873861e+00, 1.359098354459579e+00
151, 3.899999943328350e+01, 2.268402532704132e+00, 1.354709415454939e+00
152, 3.899999943328350e+01, 2.253430537692175e+00, 1.336108918837949e+00
153, 3.899999943328351e+01, 2.257066592203675e+00, 1.264903011297339e+00
154, 3.899999943328350e+01, 2.215620598087956e+00, 1.242283699913777e+00
155, 3.899999943328350e+01, 2.229364773412406e+00, 1.225399377686099e+00
156, 3.899999943328350e+01, 2.244536547145835e+00, 1.246153330082884e+00
157, 3.899999943328350e+01, 2.233896853966196e+00, 1.308418729500446e+00
158, 3.899999943328350e+01, 2.227152031963005e+00, 1.258736952748761e+00
159, 3.899999943328350e+01, 2.238675807509376e+00, 1.278093357861946e+00
160, 3.899999943328350e+01, 2.253172786383379e+00, 1.290922587247051e+00
161, 3.899999943328350e+01, 2.251555450155870e+00, 1.311159892975842e+00
162, 3.899999943328350e+01, 2.243872316827660e+00, 1.301040488682381e+00
163, 3.899999943328350e+01, 2.263151408223133e+00, 1.303715343474909e+00
164, 3.899999943328350e+01, 2.286982329076375e+00, 1.364580830907583e+00
165, 3.899999943328350e+01, 2.293595031509548e+00, 1.358268869004144e+00
166, 3.899999943328350e+01, 2.296843573333138e+00, 1.355795433508677e+00
167, 3.899999943328350e+01, 2.290049565434955e+00, 1.361106942888366e+00
168, 3.899999943328350e+01, 2.283447986440884e+00, 1.362438642949384e+00
169, 3.899999943328350e+01, 2.279659440024463e+00, 1.359159399563208e+00
170, 3.899999943328351e+01, 2.277175650589190e+00, 1.355148669828556e+00
171, 3.899999943328350e+01, 2.270102982803022e+00, 1.315942126254368e+00
172, 3.899999943328350e+01, 2.279686470744192e+00, 1.326206231486633e+00
173, 3.899999943328350e+01, 2.285766201542073e+00, 1.333962039219204e+00
174, 3.899999943328350e+01, 2.236388135033490e+00, 1.292754064995171e+00
175, 3.899999943328350e+01, 2.257901168405940e+00, 1.321314801247956e+00
176, 3.899999943328350e+01, 2.270391309784709e+00, 1.326976005725790e+00
177, 3.899999943328350e+01, 2.290655114650724e+00, 1.340466209512195e+00
178, 3.899999943328350e+01, 2.290909380852590e+00, 1.353993819252001e+00
179, 3.899999943328350e+01, 2.288105884585396e+00, 1.349024804816920e+00
180, 3.899999943328350e+01, 2.282640561603661e+00, 1.352074938949808e+00
181, 3.899999943328350e+01, 2.286229668747994e+00, 1.357036018060211e+00
182, 3.899999943328350e+01, 2.273691197854772e+00, 1.350261986341632e+00
183, 3.899999943328350e+01, 2.270135565633703e+00, 1.344099596989487e+00
184, 3.899999943328350e+01, 2.279407563423375e+00, 1.347802803066041e+00
185, 3.899999943328350e+01, 2.277822698237964e+00, 1.339630409579029e+00
186, 3.899999943328350e+01, 2.265940168085875e+00, 1.337920596168982e+00
187, 3.899999943328350e+01, 2.273037142672806e+00, 1.334315708702521e+00
188, 3.899999943328349e+01, 2.261962311660416e+00, 1.330489538037100e+00
189, 3.899999943328350e+01, 2.285293747099212e+00, 1.344316209767081e+00
190, 3.528850574133727e+01, 2.874941372309781e+00, 2.131123514759445e+00
191, 3.535978313696556e+01, 2.862926734677757e+00, 2.117712241219250e+00
192, 3.543310216175583e+01, 2.850557462544229e+00, 2.103806457770943e+00
193, 3.550845493081015e+01, 2.837840397680245e+00, 2.089402165191427e+00
194, 3.558494457071117e+01, 2.824932094992356e+00, 2.074669011743801e+00
195, 3.566147372761891e+01, 2.812023430373936e+00, 2.059821316453553e+00
196, 3.573638240725651e+01, 2.799399663168882e+00, 2.045189791939206e+00
197, 3.580661358959940e+01, 2.787579357833386e+00, 2.031388358582343e+00
198, 3.586902391886917e+01, 2.777091200904718e+00, 2.019059502297189e+00
199, 3.592234114865097e+01, 2.768144863927292e+00, 2.008481102061196e+00
200, 3.596722723545915e+01, 2.760624119350131e+00, 1.999544000188779e+00
201, 3.600516362511226e+01, 2.754276231219045e+00, 1.991968948635430e+00
202, 3.603672671786475e+01, 2.749001051139344e+00, 1.985651815145760e+00
203, 3.606339452170731e+01, 2.744548691999626e+00, 1.980304309050537e+00
204, 3.608607664951593e+01, 2.740765268686546e+00, 1.975748881876759e+00
205, 3.610569035865406e+01, 2.737496346903946e+00, 1.971804519362936e+00
206, 3.612282807933610e+01, 2.734642180889072e+00, 1.968354210838436e+00
207, 3.613792902077349e+01, 2.732128884021355e+00, 1.965311015193368e+00
208, 3.615127189533908e+01, 2.729909506841442e+00, 1.962619843927419e+00
209, 3.616305107266312e+01, 2.727951272926534e+00, 1.960242313578259e+00
210, 3.617338936944859e+01, 2.726233400127349e+00, 1.958154278027390e+00
211, 3.618241123768871e+01, 2.724734908701878e+00, 1.956331112687027e+00
212, 3.619023537749229e+01, 2.723435839829957e+00, 1.954749231975046e+00
213, 3.619700377709987e+01, 2.722312426375038e+00, 1.953380238113863e+00
214, 3.620289668607690e+01, 2.721334605913036e+00, 1.952187901292915e+00
215, 3.620821905715353e+01, 2.720443625200896e+00, 1.951103561032970e+00
216, 3.621345650949146e+01, 2.718769765180903e+00, 1.950858091959927e+00
217, 3.621903370586922e+01, 2.716953681503032e+00, 1.950609898009596e+00
218, 3.622487446666573e+01, 2.715022799216289e+00, 1.950372964567320e+00
219, 3.623080526147550e+01, 2.713029579356324e+00, 1.950156764847466e+00
220, 3.623669542028468e+01, 2.711015235581679e+00, 1.949966584132045e+00
221, 3.624242076815922e+01, 2.709021948686971e+00, 1.949805154117626e+00
222, 3.624794998169079e+01, 2.707061899357307e+00, 1.949671024158963e+00
223, 3.625333083312177e+01, 2.705119344757477e+00, 1.949560756056243e+00
224, 3.625832775732957e+01, 2.703282511910153e+00, 1.949475865087123e+00
225, 3.626270464226024e+01, 2.701646239199265e+00, 1.949415069617355e+00
226, 3.626644406097872e+01, 2.700227409950715e+00, 1.949373144065617e+00
227, 3.626961081187309e+01, 2.699010483884331e+00, 1.949344832916230e+00
228, 3.627229745503463e+01, 2.697966769508539e+00, 1.949326014181114e+00
229, 3.627465652677807e+01, 2.697041612192721e+00, 1.949313479627648e+00
230, 3.627463074934286e+01, 2.698945216571807e+00, 1.947641100919823e+00
231, 3.627460274581633e+01, 2.701001239219918e+00, 1.945787716850498e+00
232, 3.627457575734775e+01, 2.702966417247332e+00, 1.943968333682540e+00
233, 3.627454992365097e+01, 2.704832072288298e+00, 1.942201745219284e+00
234, 3.627452634374209e+01, 2.706521997059803e+00, 1.940572686583113e+00
235, 3.627450379756637e+01, 2.708127322295957e+00, 1.939004042495162e+00
236, 3.627448477365633e+01, 2.709481584507307e+00, 1.937676809973156e+00
237, 3.627631913645336e+01, 2.709174147553437e+00, 1.937299973643062e+00
238, 3.627824234066367e+01, 2.708856197110636e+00, 1.936909230958237e+00
239, 3.628046445007305e+01, 2.708488868494534e+00, 1.936457710714611e+00
240, 3.628309957921388e+01, 2.708053317754473e+00, 1.935922200350143e+00
241, 3.628621108313971e+01, 2.707539102438921e+00, 1.935289788060436e+00
242, 3.628987296542245e+01, 2.706934032525672e+00, 1.934545382631991e+00
243, 3.629417167740750e+01, 2.706223877856262e+00, 1.933671342012236e+00
244, 3.629920817888238e+01, 2.705392034178802e+00, 1.932647046682461e+00
245, 3.630510033796261e+01, 2.704419135618796e+00, 1.931448401307750e+00
246, 3.631198572780602e+01, 2.703282604994705e+00, 1.930047252002837e+00
247, 3.632002488577907e+01, 2.701956132429735e+00, 1.928410704613206e+00
248, 3.632940511155100e+01, 2.700409071418354e+00, 1.926500326801319e+00
249, 3.634034489327224e+01, 2.698605740109925e+00, 1.924271213630841e+00
250, 3.635309906573067e+01, 2.696504614118590e+00, 1.921670892687361e+00
251, 3.636796482166093e+01, 2.694057395696241e+00, 1.918638040439213e+00
252, 3.638528871749091e+01, 2.691207942770176e+00, 1.915100976480424e+00
253, 3.640547483851490e+01, 2.687891040804797e+00, 1.910975896822259e+00
254, 3.642899431573552e+01, 2.684030998817312e+00, 1.906164799590540e+00
255, 3.645639641887080e+01, 2.679540051480653e+00, 1.900553048813770e+00
256, 3.648832148846233e+01, 2.674316552456517e+00, 1.894006514275170e+00
257, 3.652551238683652e+01, 2.668243537723820e+00, 1.886368959245856e+00
258, 3.656877090973686e+01, 2.661196418891226e+00, 1.877470704982401e+00
259, 3.661894844596579e+01, 2.653045203208853e+00, 1.867130319616445e+00
260, 3.667708345046419e+01, 2.643633174555922e+00, 1.855126029059089e+00
261, 3.674453679262654e+01, 2.632756750813298e+00, 1.841167269613291e+00
262, 3.682316872643165e+01, 2.620139569745653e+00, 1.824856943266072e+00
263, 3.691438234341614e+01, 2.605588709326249e+00, 1.805889003679356e+00
264, 3.702037693954718e+01, 2.588797737234275e+00, 1.783788656459371e+00
265, 3.714237853421005e+01, 2.569632330444961e+00, 1.758281717360382e+00
266, 3.727581049297621e+01, 2.548874671421939e+00, 1.730312403944810e+00
267, 3.741068366376912e+01, 2.528111290116076e+00, 1.701973119849125e+00
268, 3.753931739070892e+01, 2.508513702598735e+00, 1.674887994103822e+00
269, 3.765794925578554e+01, 2.490618000863617e+00, 1.649865217665883e+00
270, 3.776746312629639e+01, 2.474249808311802e+00, 1.626732945083585e+00
271, 3.786875043111107e+01, 2.459241401873616e+00, 1.605313870432430e+00
272, 3.796513135508760e+01, 2.445076429871819e+00, 1.584913409257637e+00
273, 3.805837529594611e+01, 2.431480740241141e+00, 1.565161917740616e+00
274, 3.814920039636721e+01, 2.418340204428261e+00, 1.545910849357061e+00
275, 3.823772049826023e+01, 2.405629947153690e+00, 1.527138194932970e+00
276, 3.832261573317585e+01, 2.393529104321854e+00, 1.509125431385161e+00
277, 3.840365743031075e+01, 2.382058052471757e+00, 1.491922723754005e+00
278, 3.848114125732440e+01, 2.371163492598910e+00, 1.475468743627652e+00
279, 3.855347226185752e+01, 2.361057224521795e+00, 1.460103630713254e+00
280, 3.861764370767374e+01, 2.352142194856781e+00, 1.446467755499394e+00
281, 3.867239622306850e+01, 2.344573466053349e+00, 1.434830437221684e+00
282, 3.871968555548877e+01, 2.338064245620766e+00, 1.424777327782030e+00
